MovieID,Title,Genres,neutral_All,gender_M,gender_F,age_Youth,age_Middle,age_Senior,cross_M_Youth,cross_F_Youth,cross_M_Middle,cross_F_Middle,cross_M_Senior,cross_F_Senior
1,Toy Story (1995),Animation|Children's|Comedy,0.5800911321416053,0.561487130600572,0.6317880794701987,0.5828651685393258,0.6215469613259669,0.3474320241691843,0.5375939849624061,0.7166666666666667,0.5764036958066808,0.650103519668737,0.3389121338912134,0.3695652173913043
2,Jumanji (1995),Adventure|Children's|Fantasy,0.09989484752891693,0.0977121067683508,0.10596026490066225,0.0997191011235955,0.10165745856353592,0.09063444108761329,0.08270676691729323,0.15,0.09665955934612651,0.09937888198757763,0.10460251046025104,0.05434782608695652
3,Grumpier Old Men (1995),Comedy|Romance,0.05187521906764809,0.04909437559580553,0.059602649006622516,0.060393258426966294,0.049171270718232046,0.04833836858006042,0.06766917293233082,0.03888888888888889,0.04193319118692253,0.062111801242236024,0.03347280334728033,0.08695652173913043
4,Waiting to Exhale (1995),Comedy|Drama,0.012968804766912022,0.00667302192564347,0.030463576158940398,0.014044943820224719,0.013259668508287293,0.00906344410876133,0.005639097744360902,0.03888888888888889,0.006396588486140725,0.031055900621118012,0.008368200836820083,0.010869565217391304
5,Father of the Bride Part II (1995),Comedy,0.033648790746582544,0.02478551000953289,0.05827814569536424,0.032303370786516857,0.03425414364640884,0.03323262839879154,0.020676691729323307,0.06666666666666667,0.02700781805259417,0.049689440993788817,0.012552301255230125,0.08695652173913043
6,Heat (1995),Action|Crime|Thriller,0.22853137048720645,0.27121067683508104,0.10993377483443709,0.2556179775280899,0.23425414364640884,0.13897280966767372,0.31203007518796994,0.08888888888888889,0.2601279317697228,0.12008281573498965,0.15481171548117154,0.09782608695652174
7,Sabrina (1995),Comedy|Romance,0.07430774623203645,0.05004766444232602,0.14172185430463577,0.05898876404494382,0.07900552486187845,0.08157099697885196,0.03195488721804511,0.1388888888888889,0.05046197583511016,0.14906832298136646,0.07112970711297072,0.10869565217391304
8,Tom and Huck (1995),Adventure|Children's,0.007360672975814932,0.004766444232602479,0.01456953642384106,0.016853932584269662,0.004972375690607734,0.0,0.009398496240601503,0.03888888888888889,0.0035536602700781805,0.008281573498964804,0.0,0.0
9,Sudden Death (1995),Action,0.008412197686645636,0.0109628217349857,0.0013245033112582781,0.011235955056179775,0.0071823204419889505,0.00906344410876133,0.015037593984962405,0.0,0.00923951670220327,0.0,0.008368200836820083,0.010869565217391304
10,GoldenEye (1995),Action|Adventure|Thriller,0.1706975113915177,0.19971401334604386,0.09006622516556291,0.21910112359550563,0.16077348066298341,0.12084592145015106,0.2556390977443609,0.1111111111111111,0.17697228144989338,0.08695652173913043,0.14225941422594143,0.06521739130434782
11,"American President, The (1995)",Comedy|Drama|Romance,0.24465474938661058,0.20162059103908483,0.36423841059602646,0.17134831460674158,0.2640883977900553,0.29607250755287007,0.12406015037593984,0.3111111111111111,0.21108742004264391,0.3747412008281574,0.2510460251046025,0.41304347826086957
12,Dracula: Dead and Loving It (1995),Comedy|Horror,0.010515247108307046,0.010486177311725452,0.010596026490066225,0.02247191011235955,0.0060773480662983425,0.00906344410876133,0.02631578947368421,0.011111111111111112,0.0042643923240938165,0.010351966873706004,0.008368200836820083,0.010869565217391304
